id,name_en,name_ar,description_en,description_ar,category_en,category_ar
9502,Benzoin Resinoid (Sumatra),Benzoin  (Sumatra) (راتنجي),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9353,Benzoin Siam Resin 50% BB **,Benzoin Siam Resin 50% BB **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6006,Benzophenone (crystals) **,Benzophenone (crystals) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6007,Benzyl Acetate,Benzyl Acetate,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7707,Benzyl Acetate (Natural),Benzyl Acetate (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6008,Benzyl Alcohol FCC,Benzyl Alcohol FCC,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8282,Benzyl Benzoate (Natural) **,Benzyl Benzoate (Natural) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6009,Benzyl Benzoate **,Benzyl Benzoate **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6011,Benzyl Cinnamate **,Benzyl Cinnamate **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
10033,Benzyl Phenyl Acetate FCC,Benzyl Phenyl Acetate FCC,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6012,Benzyl Propionate,Benzyl Propionate,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6013,Benzyl Salicylate,Benzyl Salicylate,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8054,Bergamal (IFF),Bergamal (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6401,"Bergamot - Essential Oil (BF) - Calabria, IT **","زيت Bergamot -  (BF) - Calabria, IT ** العطري",Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8322,Bergamot Fragrance Oil (Premium),Bergamot Fragrance Oil (Premium),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
